ResponseId,Q8,Lecture,Midterm I (1793978),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Midterm I +3,Q4,Q5,Midterm I +3,z-score,,,,,,,,,,,,,,,,,,,,,Member 3,,,,,,
R_5QMMcmL1QuP3BF7,In-person before or after class,2,29.5,0,0,,,0,0,0,0,,,0,0,32.5,I am looking for a classmate to tutor me in BIOC 202,,65,-0.38028169,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7qJutvPIz3qSFTz,In-person before or after class,2,29.5,0,0,,,0,0,0,0,,,0,0,32.5,I am looking for a classmate to tutor me in BIOC 202,,65,-0.38028169,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6gUUJgHmOVNrEOJ,In-person before or after class,2,29.5,0,0,,,0,0,0,0,,,0,0,32.5,I am looking for a classmate to tutor me in BIOC 202,,65,-0.38028169,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5FgZAyO9CUxlXHu,In-person before or after class,2,30,0,0,,,0,0,0,0,,,0,0,33,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,66,-0.309859155,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6hywac7vdhofqrp,In-person before or after class,2,30,0,0,,,0,0,0,0,,,0,0,33,I am looking for a classmate to tutor me in BIOC 202,,66,-0.309859155,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_618pBNmQoIjeSCR,In-person before or after class,2,30.5,0,0,,,0,0,0,0,,,0,0,33.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,67,-0.23943662,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1rDE1xP2H5sTpDV,In-person before or after class,2,30.5,0,0,,,0,0,0,0,,,0,0,33.5,I am looking for a classmate to tutor me in BIOC 202,,67,-0.23943662,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_15LuaAaNbNbf6NP,In-person before or after class,2,31,0,0,,,0,0,0,0,,,0,0,34,I am looking for a classmate to tutor me in BIOC 202,,68,-0.169014085,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_57OuYXc2g0yucQC,In-person before or after class,2,31,0,0,,,0,0,0,0,,,0,0,34,I am looking for a classmate to tutor me in BIOC 202,,68,-0.169014085,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5XcFBvJQloNJEZ2,In-person before or after class,2,31,0,0,,,0,0,0,0,,,0,0,34,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,68,-0.169014085,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1Tt061BXIvwDqf7,In-person before or after class,2,31.5,0,0,,,0,0,0,0,,,0,0,34.5,I am looking for a classmate to tutor me in BIOC 202,,69,-0.098591549,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1CmvNEZy6N5PiDr,In-person before or after class,2,32.5,0,0,,,0,0,0,0,,,0,0,35.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,,71,0.042253521,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1PxZ6Z1XHzUJCVz,In-person before or after class,2,32.5,0,0,,,0,0,0,0,,,0,0,35.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,71,0.042253521,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3DCOWP1s7WdXl9A,In-person before or after class,2,32.5,0,0,,,0,0,0,0,,,0,0,35.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,71,0.042253521,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7JDcyTPqF6a2epz,In-person before or after class,2,33.5,0,0,,,0,0,0,0,,,0,0,36.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,73,0.183098592,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5nu3zxEFBQEVK4b,In-person before or after class,2,33.5,0,0,,,0,0,0,0,,,0,0,36.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,73,0.183098592,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3QcIZOezPo9BP6K,In-person before or after class,2,33.5,0,0,,,0,0,0,0,,,0,0,36.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,73,0.183098592,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_38ThERpnT8zSdhS,In-person before or after class,2,34,0,0,,,0,0,0,0,,,0,0,37,I am looking for a classmate to tutor me in BIOC 202,,74,0.253521127,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5axxMQfvXq5bFcD,In-person before or after class,2,34.5,0,0,,,0,0,0,0,,,0,0,37.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,75,0.323943662,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7QDUqSpowT7cmqW,In-person before or after class,2,35,0,0,,,0,0,0,0,,,0,0,38,I am looking for a classmate to tutor me in BIOC 202,,76,0.394366197,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7xR7Prc2TQvTTpv,In-person before or after class,2,35,0,0,,,0,0,0,0,,,0,0,38,I am looking for a classmate to tutor me in BIOC 202,,76,0.394366197,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3LpnwKx2gf38bWV,In-person before or after class,2,35.5,0,0,,,0,0,0,0,,,0,0,38.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,77,0.464788732,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3NQUdUAg7Phzec9,In-person before or after class,2,35.5,0,0,,,0,0,0,0,,,0,0,38.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,77,0.464788732,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6L6Hsd116GvLGik,In-person before or after class,2,35.5,0,0,,,0,0,0,0,,,0,0,38.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,77,0.464788732,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_64FZUluEHQKWO7a,In-person before or after class,2,36,0,0,,,0,0,0,0,,,0,0,39,I am interested in being a peer tutor in BIOC 202,1,78,0.535211268,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1e7R1rE674NDLxa,In-person before or after class,2,36,0,0,,,0,0,0,0,,,0,0,39,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,78,0.535211268,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6Gc87iYQcsR0o1j,In-person before or after class,2,36.5,0,0,,,0,0,0,0,,,0,0,39.5,I am looking for a classmate to tutor me in BIOC 202,,79,0.605633803,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3w1fv343wdSDfmz,In-person before or after class,2,37,0,0,,,0,0,0,0,,,0,0,40,I am looking for a classmate to tutor me in BIOC 202,,80,0.676056338,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1c2Bkpc1SbLguDZ,In-person before or after class,2,37,0,0,,,0,0,0,0,,,0,0,40,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,80,0.676056338,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3pYvn7skDHfea46,In-person before or after class,2,37.5,0,0,,,0,0,0,0,,,0,0,40.5,I am looking for a classmate to tutor me in BIOC 202,,81,0.746478873,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5dT7u98l0eDR3sB,In-person before or after class,2,37.5,0,0,,,0,0,0,0,,,0,0,40.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,81,0.746478873,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_74i4MHwMDoT0UBx,In-person before or after class,2,38,0,0,,,0,0,0,0,,,0,0,41,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,82,0.816901408,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3HYv5Dl5Jfp0Wvb,In-person before or after class,2,38,0,0,,,0,0,0,0,,,0,0,41,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,82,0.816901408,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3ClnCdXCJ6UPd7H,In-person before or after class,2,38,0,0,,,0,0,0,0,,,0,0,41,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,82,0.816901408,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5nZ3Ih2GeVbQWtY,In-person before or after class,2,38,0,0,,,0,0,0,0,,,0,0,41,I am looking for a classmate to tutor me in BIOC 202,,82,0.816901408,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1DuWCdYipfMqbPW,In-person before or after class,2,38,0,0,,,0,0,0,0,,,0,0,41,I am looking for a classmate to tutor me in BIOC 202,,82,0.816901408,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5fjk1bTMkgF4yqc,In-person before or after class,2,39,0,0,,,0,0,0,0,,,0,0,42,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,84,0.957746479,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3LFtxdyxkVCR95f,In-person before or after class,2,39,0,0,,,0,0,0,0,,,0,0,42,I am looking for a classmate to tutor me in BIOC 202,,84,0.957746479,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3cbwrb9pLQEgJpg,In-person before or after class,2,39.5,0,0,,,0,0,0,0,,,0,0,42.5,I am looking for a classmate to tutor me in BIOC 202,,85,1.028169014,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6N9aC2o9sVfTTlx,In-person before or after class,2,40,0,0,,,0,0,0,0,,,0,0,43,I am interested in being a peer tutor in BIOC 202,1,86,1.098591549,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5FWdn41TDCJqT0t,In-person before or after class,2,42.5,0,0,,,0,0,0,0,,,0,0,45.5,I am interested in being a peer tutor in BIOC 202,2 to 3,91,1.450704225,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5I58AnRoc6Sn4qJ,In-person before or after class,2,43.5,0,0,,,0,0,0,0,,,0,0,46.5,I am interested in being a peer tutor in BIOC 202,2 to 3,93,1.591549296,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1Ug4khNPzEcXViX,In-person before or after class,2,43.5,0,0,,,0,0,0,0,,,0,0,46.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,93,1.591549296,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6NVmZUL4dyujgJj,In-person before or after class,2,44.5,0,0,,,0,0,0,0,,,0,0,47.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,95,1.732394366,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6HSSzF75kXholgf,In-person nights or weekends,2,14,0,0,,,0,0,0,0,,,0,0,17,I am looking for a classmate to tutor me in BIOC 202,,34,-2.563380282,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_72MBTrppxQx77Zk,In-person nights or weekends,2,18,0,0,,,0,0,0,0,,,0,0,21,I am looking for a classmate to tutor me in BIOC 202,,42,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5PTRSejdK0v6WcQ,In-person nights or weekends,2,18,0,0,,,0,0,0,0,,,0,0,21,I am looking for a classmate to tutor me in BIOC 202,,42,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6JLyWCgc0BifbGG,In-person nights or weekends,2,23.5,0,0,,,0,0,0,0,,,0,0,26.5,I am looking for a classmate to tutor me in BIOC 202,,53,-1.225352113,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5sZtOHmEg8YeMu4,In-person nights or weekends,2,24,0,0,,,0,0,0,0,,,0,0,27,I am looking for a classmate to tutor me in BIOC 202,,54,-1.154929577,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_52Y9I4GNfWsJvET,In-person nights or weekends,2,25.5,0,0,,,0,0,0,0,,,0,0,28.5,I am looking for a classmate to tutor me in BIOC 202,,57,-0.943661972,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1H8JBetmk8T17iC,In-person nights or weekends,2,26.5,0,0,,,0,0,0,0,,,0,0,29.5,I am looking for a classmate to tutor me in BIOC 202,,59,-0.802816901,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7tLQ4U4Le3hUzdO,In-person nights or weekends,2,26.5,0,0,,,0,0,0,0,,,0,0,29.5,I am looking for a classmate to tutor me in BIOC 202,,59,-0.802816901,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7UaNIPER76SZapP,In-person nights or weekends,2,27,0,0,,,0,0,0,0,,,0,0,30,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,60,-0.732394366,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5fiKb9Moa564JFz,In-person nights or weekends,2,27,0,0,,,0,0,0,0,,,0,0,30,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,3+,60,-0.732394366,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1gUtmeB8ih13kk1,In-person nights or weekends,2,27.5,0,0,,,0,0,0,0,,,0,0,30.5,I am looking for a classmate to tutor me in BIOC 202,,61,-0.661971831,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3uU8XUeFE520RLi,In-person nights or weekends,2,27.5,0,0,,,0,0,0,0,,,0,0,30.5,I am looking for a classmate to tutor me in BIOC 202,,61,-0.661971831,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1U5BIKC2g1wVX02,In-person nights or weekends,2,27.5,0,0,,,0,0,0,0,,,0,0,30.5,I am looking for a classmate to tutor me in BIOC 202,,61,-0.661971831,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5IlHO5XYwbRZscx,In-person nights or weekends,2,28,0,0,,,0,0,0,0,,,0,0,31,I am looking for a classmate to tutor me in BIOC 202,,62,-0.591549296,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3WScQc6x96vm40p,In-person nights or weekends,2,28.5,0,0,,,0,0,0,0,,,0,0,31.5,I am looking for a classmate to tutor me in BIOC 202,,63,-0.521126761,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3cz4sDE19s3WVB7,In-person nights or weekends,2,30,0,0,,,0,0,0,0,,,0,0,33,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,66,-0.309859155,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6K8s9MuJEHboXhd,In-person nights or weekends,2,30,0,0,,,0,0,0,0,,,0,0,33,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,66,-0.309859155,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5U9QUShamCyDEpb,In-person nights or weekends,2,30,0,0,,,0,0,0,0,,,0,0,33,I am looking for a classmate to tutor me in BIOC 202,,66,-0.309859155,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_12QglGt6yYShCCU,In-person nights or weekends,2,30,0,0,,,0,0,0,0,,,0,0,33,I am looking for a classmate to tutor me in BIOC 202,,66,-0.309859155,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6fNMas1IbIC0Cyd,In-person nights or weekends,2,30.5,0,0,,,0,0,0,0,,,0,0,33.5,I am looking for a classmate to tutor me in BIOC 202,,67,-0.23943662,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1MHJmPZv0Ee7jxf,In-person nights or weekends,2,32,0,0,,,0,0,0,0,,,0,0,35,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,70,-0.028169014,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5aeHoriOY2V8jyQ,In-person nights or weekends,2,33,0,0,,,0,0,0,0,,,0,0,36,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,72,0.112676056,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_70OU7PdzIvWc7AN,In-person nights or weekends,2,33,0,0,,,0,0,0,0,,,0,0,36,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,72,0.112676056,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5JPztyc2m5Dmecs,In-person nights or weekends,2,34,0,0,,,0,0,0,0,,,0,0,37,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,74,0.253521127,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3FG4C4Oy48ZvbDZ,In-person nights or weekends,2,34,0,0,,,0,0,0,0,,,0,0,37,I am looking for a classmate to tutor me in BIOC 202,,74,0.253521127,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6d6qiTIsENvVMzm,In-person nights or weekends,2,34,0,0,,,0,0,0,0,,,0,0,37,I am looking for a classmate to tutor me in BIOC 202,,74,0.253521127,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3af6CR6SesnCOSj,In-person nights or weekends,2,34,0,0,,,0,0,0,0,,,0,0,37,I am looking for a classmate to tutor me in BIOC 202,,74,0.253521127,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3nZ3Oir5E5qXGLG,In-person nights or weekends,2,34,0,0,,,0,0,0,0,,,0,0,37,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,,74,0.253521127,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1xY6oEqvUOgNE9J,In-person nights or weekends,2,34.5,0,0,,,0,0,0,0,,,0,0,37.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,75,0.323943662,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6P5EwZTabX3lRbQ,In-person nights or weekends,2,34.5,0,0,,,0,0,0,0,,,0,0,37.5,I am looking for a classmate to tutor me in BIOC 202,,75,0.323943662,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5mUeP0Wt2PhIggh,In-person nights or weekends,2,34.5,0,0,,,0,0,0,0,,,0,0,37.5,I am looking for a classmate to tutor me in BIOC 202,,75,0.323943662,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7WMW8bzjBNRM1Fv,In-person nights or weekends,2,34.5,0,0,,,0,0,0,0,,,0,0,37.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,75,0.323943662,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1ovGGfv9PsoczEI,In-person nights or weekends,2,34.5,0,0,,,0,0,0,0,,,0,0,37.5,I am looking for a classmate to tutor me in BIOC 202,,75,0.323943662,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3t50Us7ciuw4IQl,In-person nights or weekends,2,35,0,0,,,0,0,0,0,,,0,0,38,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,76,0.394366197,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5aRaXfWqA6hkVjG,In-person nights or weekends,2,35,0,0,,,0,0,0,0,,,0,0,38,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,76,0.394366197,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1QmJqHRA0xXIJRq,In-person nights or weekends,2,35.5,0,0,,,0,0,0,0,,,0,0,38.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,3+,77,0.464788732,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5iqJkmbMjPswgGe,In-person nights or weekends,2,35.5,0,0,,,0,0,0,0,,,0,0,38.5,I am interested in being a peer tutor in BIOC 202,2 to 3,77,0.464788732,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7SIxjRN57yvDqKZ,In-person nights or weekends,2,36.5,0,0,,,0,0,0,0,,,0,0,39.5,I am interested in being a peer tutor in BIOC 202,3+,79,0.605633803,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3QnlNEY96HSToTZ,In-person nights or weekends,2,36.5,0,0,,,0,0,0,0,,,0,0,39.5,I am looking for a classmate to tutor me in BIOC 202,,79,0.605633803,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5Gly0BLush62M31,In-person nights or weekends,2,36.5,0,0,,,0,0,0,0,,,0,0,39.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,79,0.605633803,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3T2UgGu1qch2O53,In-person nights or weekends,2,36.5,0,0,,,0,0,0,0,,,0,0,39.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,79,0.605633803,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6n5twWUSvKfw4XT,In-person nights or weekends,2,36.5,0,0,,,0,0,0,0,,,0,0,39.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,79,0.605633803,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_60e3IY97cWEhnxx,In-person nights or weekends,2,37,0,0,,,0,0,0,0,,,0,0,40,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,80,0.676056338,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6elh6CR3ve7aLh8,In-person nights or weekends,2,37.5,0,0,,,0,0,0,0,,,0,0,40.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,81,0.746478873,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5OeRzijHWcPl85z,In-person nights or weekends,2,38.5,0,0,,,0,0,0,0,,,0,0,41.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,83,0.887323944,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7kTepjfZnmmu66T,In-person nights or weekends,2,39,0,0,,,0,0,0,0,,,0,0,42,I am interested in being a peer tutor in BIOC 202,2 to 3,84,0.957746479,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3fDvJ4Vz5HTxksS,In-person nights or weekends,2,39.5,0,0,,,0,0,0,0,,,0,0,42.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,85,1.028169014,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3pYaSz1WAVFlMNs,In-person nights or weekends,2,40,0,0,,,0,0,0,0,,,0,0,43,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,86,1.098591549,,,,,,,,,,,,,,,,,,,,,,,,,,,
