ResponseId,Q8,Q4,Q5,z-score,TeamSizeViolation,TeamId
R_5FWdn41TDCJqT0t,In-person before or after class,I am interested in being a peer tutor in BIOC 202,2 to 3,1,Yes,25
R_1e7R1rE674NDLxa,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,25
R_6U79Xjabmp4skkp,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,25
R_3IRYyhH8NcRjCuJ,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,25
R_70OU7PdzIvWc7AN,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,26
R_6fNMas1IbIC0Cyd,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,0,,26
R_5KHO2rHmReAmesU,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,26
R_6P5EwZTabX3lRbQ,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,1,,26
R_7dEyFzPcZHdETVt,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,0,,27
R_37WCVwmpHgOeAIw,On zoom,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,27
R_7X67owPJjbGAsvL,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,1,,27
R_5OjgNWJUrBIJyto,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,1,,27
R_5pu3xjzWySY7hAB,On zoom,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,28
R_6B5q6s4JOUJ6fNy,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,0,,28
R_5n3LrYf1zRlEEOT,On zoom,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,28
R_3QnlNEY96HSToTZ,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,1,,28
R_5XcFBvJQloNJEZ2,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,0,,29
R_3w1fv343wdSDfmz,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,1,,29
R_5nu3zxEFBQEVK4b,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,29
R_7QDUqSpowT7cmqW,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,1,,29
R_5EBnEV78XmO0Z5n,On zoom,I am interested in being a peer tutor in BIOC 202,1,1,,30
R_7DnJDzK0uafQkIi,On zoom,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,30
R_1CmvNEZy6N5PiDr,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,3+,1,,30
R_15LuaAaNbNbf6NP,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,30
R_74i4MHwMDoT0UBx,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,31
R_3dch2zp6OAen8xX,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,31
R_7xR7Prc2TQvTTpv,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,1,,31
R_5axxMQfvXq5bFcD,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,31
R_1uWzVlZIGErnji7,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,32
R_3QcIZOezPo9BP6K,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,32
R_5Gly0BLush62M31,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,32
R_5OeRzijHWcPl85z,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,32
R_6Gc87iYQcsR0o1j,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,1,,33
R_333G3d2q9BtXgfF,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,33
R_51dsv3IZGRmN2Y4,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,33
R_3Kjn1WP87R6YOpb,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,33
R_637Iuwa3WnClkR8,On zoom,I am interested in being a peer tutor in BIOC 202,1,1,,34
R_5fiKb9Moa564JFz,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,3+,0,,34
R_3nZ3Oir5E5qXGLG,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,3+,1,,34
R_6NVmZUL4dyujgJj,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,34
R_6r8ocRFGkGe2LJL,On zoom,I am looking for a classmate to tutor me in BIOC 202,3+,1,,35
R_7qJutvPIz3qSFTz,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,35
R_5dT7u98l0eDR3sB,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,35
R_1pQASoXAa1Jmopo,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,35
R_1MHJmPZv0Ee7jxf,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,0,,36
R_5mUeP0Wt2PhIggh,In-person nights or weekends,I am looking for a classmate to tutor me in BIOC 202,3+,1,,36
R_5aeHoriOY2V8jyQ,In-person nights or weekends,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,1,,36
R_3LFtxdyxkVCR95f,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,1,,37
R_3HYv5Dl5Jfp0Wvb,In-person before or after class,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,1,,37
R_5QMMcmL1QuP3BF7,In-person before or after class,I am looking for a classmate to tutor me in BIOC 202,3+,0,,37
